schoolName,value
國立高雄師範大學附屬高級中學,280000
法鼓佛教學院,200000
臺北市立大學(原臺北市立教育大學改制自102年8月1日起生效),199434
財團法人南榮技術學院,180000
財團法人台灣首府大學,156000
國立臺灣大學生物資源暨農學院附設山地實驗農場,151600
國立政治大學附屬高級中學,150000
國立臺灣大學401專戶,148000
國立東華大學附設實驗國民小學(特種基金)(100.1.1啟用),120000
國立陽明大學附設醫院,100000
國立臺灣大學生物資源暨農學院,79904
健行學校財團法人健行科技大學（作廢改名為3232健行科技大學),64800
學校財團法人中華浸信會基督教台灣浸會神學院,61814
臺北市立大學,30000
嘉藥學校財團法人嘉南藥理大學,24000
